Название,Цена,Операционная система,Диагональ экрана,Разрешение экрана,Производитель процессора,Модель процессора,Тактовая частота,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Цвет
Ноутбук Acer Swift 3 SF314-43-R1KU (NX.ACPER.00A),69999,Windows 11 Домашняя x64,"14""",1920x1080 Пикс,AMD,Ryzen 5 5500U,2.1 ГГц,8 ГБ,DDR4,SSD,512 ГБ,AMD,Radeon Vega 7,,Синий
Ноутбук HP 17-cp0126ur (5D666EA),53999,FreeDOS,"17.3""",1920x1080 Пикс,AMD,Ryzen 5 5500U,2.1 ГГц,16 ГБ,DDR4,SSD,512 ГБ,AMD,Radeon,,Серебристый
Ноутбук ASUS R565EA-EJ1076T,46999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Core i3-1115G4,3 ГГц,8 ГБ,DDR4,SSD,256 ГБ,Intel,Intel UHD Graphics,,Серый
Ноутбук ASUS VivoBook Pro 15 OLED K3500PC-L1057T,86999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Core i5-11300H,3.1 ГГц,8 ГБ,DDR4,SSD,512 ГБ,NVIDIA,GeForce RTX 3050,4 ГБ,Синий
Ноутбук HUAWEI MateBook D 15 8+512GB Space Grey (BoD-WDH9),69999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Core i5-1135G7,2.4 ГГц,8 ГБ,DDR4,SSD,512 ГБ,Intel,Iris Xe Graphics,,Серый
Ноутбук-трансформер Lenovo IdeaPad Flex 3 11ADA05 (82G4001NRU),26999,Windows 10 Домашняя в S-режиме,"11.6""",1366x768 Пикс,AMD,,1.2 ГГц,4 ГБ,DDR4,eMMC,64 ГБ,AMD,Radeon Graphics,,Серый
Ноутбук HP 17-cn0101ur (5D5G4EA),59999,Windows 11 Домашняя x64,"17.3""",1920x1080 Пикс,Intel,Core i5-1135G7,2.4 ГГц,8 ГБ,DDR4,SSD,512 ГБ,Intel,Iris Xe Graphics,,Серебристый
Ноутбук Irbis NB264,15999,Windows 10 Профессиональная,"14.1""",1920x1080 Пикс,Intel,Celeron N4020,1.1 ГГц,4 ГБ,LPDDR4,eMMC,128 ГБ,Intel,Intel UHD Graphics 600,,Черный
Ноутбук HP 15s-eq1364ur (491L5EA),42999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Ryzen 3 4300U,2.7 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon Graphics,,Белый
Ноутбук HUAWEI MateBook X Pro 16+512GB Space Grey (MACHD-WFE9Q),134999,Windows 10 Домашняя x64,"13.9""",3000x2000 Пикс,Intel,Core i7-1165G7,2.8 ГГц,16 ГБ,LPDDR4X,SSD,512 ГБ,Intel,Iris Xe Graphics,,Серый
Ноутбук Haier U1520SM,25999,Windows 10 Домашняя,"15.6""",1920x1080 Пикс,Intel,Celeron N4020,1.1 ГГц,4 ГБ,LPDDR4,SSD,128 ГБ,Intel,Intel UHD Graphics 600,,Серебристый
Игровой ноутбук Lenovo Legion 5 15ACH6A (82NW0046RU),119999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Ryzen 5 5600H,3.3 ГГц,16 ГБ,DDR4,SSD,512 ГБ,AMD,RX 6600M,8 ГБ,Черный
Ноутбук Honor MagicBook View 14 i5/16/512 Blue (HGE-W56),99999,Windows 11 Домашняя x64,"14.2""",2520x1680 Пикс,Intel,Core i5-11320H,2.5 ГГц,16 ГБ,LPDDR4X,SSD,512 ГБ,Intel,Intel Iris Xe Graphics,,Синий
Ноутбук ASUS VivoBook 15 R528EP-BQ438T,56999,Windows 10 Домашняя,"15.6""",1920x1080 Пикс,Intel,Core i3-1115G4,3 ГГц,8 ГБ,DDR4,SSD,256 ГБ,NVIDIA,GeForce MX330,2 ГБ,Черный
Игровой ноутбук Acer Aspire 7 A715-42G-R3FW (NH.QDLER.003),99999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Ryzen 5 5500U,2.1 ГГц,16 ГБ,DDR4,SSD,512 ГБ,NVIDIA,GeForce RTX 3050 Ti,4 ГБ,Черный
Ноутбук Irbis NB266,22999,Windows 10,"15.6""",1920x1080 Пикс,Intel,Pentium J3710,1.6 ГГц,4 ГБ,,eMMC,128 ГБ,Intel,HD Graphics,,Серый
Ноутбук ASUS VivoBook S14 S433JQ-EB076T,59999,Windows 10 Домашняя x64,"14""",1920x1080 Пикс,Intel,Core i5-1035G1,1 ГГц,8 ГБ,DDR4,SSD,512 ГБ,NVIDIA,GeForce MX350,2 ГБ,Черный
Ноутбук HUAWEI MateBook D 15 BoD-WFE9 16+512GB Space Grey,89999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Core i7-1165G7,2.8 ГГц,16 ГБ,DDR4,SSD,512 ГБ,Intel,Intel Iris Xe Graphics,,Серый
Игровой ноутбук Acer Nitro AN517-54-77PS (NH.QFCER.006),159999,Windows 11 Домашняя x64,"17.3""",1920x1080 Пикс,Intel,Core i7-11800H,2.3 ГГц,16 ГБ,DDR3L,SSD,512 ГБ,NVIDIA,GeForce RTX 3070 для ноутбуков,8 ГБ,Черный
Ноутбук-трансформер Irbis NB121,16999,Windows 10,"11.6""",1366x768 Пикс,Intel,Celeron N4020,1.1 ГГц,4 ГБ,LPDDR3,eMMC,64 ГБ,Intel,Intel UHD Graphics 600,,Черный
Ноутбук Lenovo IdeaPad 3 15IIL05 (81WE01BFRU),44999,,"15.6""",1920x1080 Пикс,Intel,Core i3-1005G1,1.2 ГГц,8 ГБ,DDR4,SSD,256 ГБ,Intel,Intel UHD Graphics,,Серебристый
Ноутбук HUAWEI MateBook 14S HKD-W76 16+1TB Space Grey с платформой Intel Evo,129999,Windows 10 Домашняя x64,"14.2""",2520x1680 Пикс,Intel,Core i7-11370H,,16 ГБ,LPDDR4X,SSD,1 ТБ,Intel,Iris Graphics,,Серый
Ноутбук Honor MagicBook X15 i5/16/512 Space Gray (BBR-WAH9),69999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Core i5-10210U,1.6 ГГц,16 ГБ,DDR4,SSD,512 ГБ,Intel,UHD Graphics,,Серый
Ноутбук ASUS M513IA-BQ547T,64999,Windows 10 Домашняя,"15.6""",1920x1080 Пикс,AMD,Ryzen 7 4700U,2 ГГц,8 ГБ,DDR4,SSD,512 ГБ,AMD,Radeon Graphics,,Черный
Ноутбук Honor MagicBook 15 R5/8/512 Silver (BMH-WDQ9HN),69999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Ryzen 5 5500U,2.1 ГГц,8 ГБ,DDR4,SSD,512 ГБ,AMD,Radeon Graphics,,Серебристый
